"Player","Nation","Pos","Squad","Age","MP","Min","Gls.","Ast","CrdY","Gls","Ast.1","G.A","xG","xA","xG.1","xA.1","SCA.","SCA90","PassLive","PassDead","GCA","GCA90","PassLive.1","PassDead.1","Touches","Att.3rd","Succ","Att","Succ.","X.PDP","Megs"
"Gyasi Zardes","us USA","FW","Columbus",27,28,"2,478",13,2,0,0.47,0.07,0.54,14.2,2,0.52,0.07,53,1.92,38,0,5,0.18,3,0,791,434,20,52,38.5,24,1
"Handwalla Bwana","ae UAE","FW","Seattle",21,15,"567",1,1,1,0.16,0.16,0.32,0.8,1.4,0.13,0.22,16,2.54,10,1,2,0.32,1,0,288,167,18,28,64.3,19,0
"Haris Medunjanin","ba BIH","MF","Philadelphia",33,34,"3,060",1,4,6,0.03,0.12,0.15,1.2,5.7,0.04,0.17,114,3.35,76,33,14,0.41,12,2,2911,735,37,44,84.1,39,0
"Harold Cummings","pa PAN","DF","San Jose",26,16,"1,392",0,0,5,0,0,0,0.1,0.4,0,0.02,7,0.45,7,0,0,0,0,0,1080,23,11,12,91.7,11,1
"Harold Santiago Mosquera","co COL","FW,MF","FC Dallas",23,23,"1,172",3,1,0,0.23,0.08,0.31,2.6,1.7,0.2,0.13,36,2.76,25,2,6,0.46,3,0,712,350,35,52,67.3,40,1
"Harrison Afful","gh GHA","DF","Columbus",32,22,"1,904",0,2,3,0,0.09,0.09,0.8,1.4,0.04,0.07,38,1.8,28,5,4,0.19,3,1,1387,381,18,30,60,19,1
"Harry Novillo","fr FRA","FW","Montreal",26,11,"439",1,2,1,0.21,0.41,0.62,0.4,0.7,0.09,0.15,20,4.1,11,4,2,0.41,1,0,235,128,14,20,70,14,1
"Harry Shipp","us USA","FW,MF","Seattle",27,25,"1,381",5,1,1,0.33,0.07,0.39,2.4,1.1,0.16,0.07,49,3.19,37,2,6,0.39,4,0,875,319,16,26,61.5,16,1
"Hassani Dotson","us USA","DF,MF","Minnesota",21,24,"1,401",4,0,2,0.26,0,0.26,0.6,0.3,0.04,0.02,32,2.06,24,0,5,0.32,1,0,886,228,14,22,63.6,15,1
"Héber","br BRA","FW","NYCFC",27,22,"1,576",15,3,1,0.86,0.17,1.03,10.5,2.3,0.63,0.14,48,2.91,35,1,5,0.3,3,0,689,341,12,34,35.3,13,5
"Hector Jiménez","us USA","DF","Columbus",30,23,"1,623",1,2,1,0.06,0.11,0.17,0.5,1.6,0.03,0.09,23,1.28,22,0,4,0.22,4,0,1109,307,5,11,45.5,5,0
"Héctor Villalba","py PAR","FW,MF","Atlanta",24,20,"938",1,3,0,0.1,0.29,0.38,3.4,2.6,0.32,0.25,41,3.93,27,0,5,0.48,5,0,540,333,36,69,52.2,36,6
"Hwang In-beom","kr KOR","MF","Vancouver",22,34,"2,809",3,3,6,0.1,0.1,0.19,2.9,3.5,0.09,0.11,90,2.88,67,7,9,0.29,8,1,2149,541,25,43,58.1,27,2
"Ignacio Piatti","ar ARG","FW","Montreal",33,11,"757",3,1,1,0.36,0.12,0.48,2.2,0.7,0.27,0.09,24,2.85,15,1,4,0.48,1,0,382,190,13,41,31.7,15,2
"Ike Opara","us USA","DF","Minnesota",29,30,"2,566",3,1,4,0.11,0.04,0.14,2.1,1.2,0.07,0.04,18,0.63,12,1,5,0.18,2,0,1408,70,8,12,66.7,8,0
"Ilie Sánchez","es ESP","MF","Sporting KC",28,32,"2,509",2,4,7,0.07,0.14,0.22,2.3,2.1,0.08,0.07,40,1.43,39,0,7,0.25,7,0,1980,294,6,7,85.7,6,0
"Ilsinho","br BRA","FW,MF","Philadelphia",33,28,"1,083",5,5,2,0.42,0.42,0.83,2.3,2.9,0.19,0.24,60,4.99,46,0,12,1,8,0,901,516,60,107,56.1,71,2
"Ismael Tajouri-Shradi","ly LBY","FW,MF","NYCFC",24,19,"938",5,3,1,0.48,0.29,0.77,1.3,2,0.13,0.19,30,2.88,21,1,9,0.86,5,0,553,246,14,24,58.3,16,1
"Jack Elliott","eng ENG","DF","Philadelphia",23,34,"3,060",2,0,4,0.06,0,0.06,2.8,0.8,0.08,0.02,24,0.71,20,0,4,0.12,2,0,2080,119,14,16,87.5,14,0
"Jack Price","eng ENG","MF","Colorado",26,27,"2,230",1,10,9,0.04,0.4,0.44,0.2,5.7,0.01,0.23,98,3.96,45,51,13,0.52,2,11,1517,334,10,15,66.7,10,0
"Jackson Yueill","us USA","MF","San Jose",21,32,"2,668",3,4,2,0.1,0.13,0.24,2.1,3.4,0.07,0.11,92,3.1,79,9,8,0.27,8,0,2267,535,27,37,73,27,0
"Jacori Hayes","us USA","MF","FC Dallas",23,19,"846",0,2,1,0,0.21,0.21,0.4,0.3,0.04,0.03,16,1.7,13,0,2,0.21,2,0,675,118,8,10,80,9,0
"Jake Nerwinski","us USA","DF","Vancouver",24,26,"2,024",1,0,1,0.04,0,0.04,0.3,0.5,0.01,0.02,13,0.58,12,0,0,0,0,0,1233,271,31,41,75.6,33,2
"Jalil Anibaba","us USA","DF","New England",30,22,"1,762",1,0,4,0.05,0,0.05,0.4,0.2,0.02,0.01,7,0.36,5,0,2,0.1,2,0,860,45,6,8,75,6,1
"Jamiro Monteiro","cv CPV","MF","Philadelphia",25,26,"2,050",4,7,3,0.18,0.31,0.48,5.7,5.2,0.25,0.23,81,3.56,62,7,12,0.53,10,0,1682,670,67,93,72,70,2
"Ján Greguš","sk SVK","MF","Minnesota",28,30,"2,678",1,9,4,0.03,0.3,0.34,1.6,5.5,0.05,0.18,97,3.26,52,36,14,0.47,6,3,2233,605,26,39,66.7,27,0
"Jay Chapman","ca CAN","MF,FW","Toronto FC",25,17,"521",2,2,1,0.35,0.35,0.69,0.6,1.3,0.1,0.23,15,2.59,14,0,2,0.35,2,0,341,164,9,12,75,9,0
"Jeff Larentowicz","us USA","MF","Atlanta",35,27,"1,464",0,0,4,0,0,0,0.4,0.2,0.03,0.01,12,0.74,10,0,2,0.12,2,0,878,133,6,11,54.5,6,1
"Jefferson Savarino","ve VEN","FW,MF","Real Salt Lake",22,28,"2,323",8,5,1,0.31,0.19,0.5,5.5,3.1,0.21,0.12,82,3.18,61,4,12,0.46,5,0,1288,663,77,112,68.8,79,2
"Jeremiah Gutjahr","us USA","DF","Chicago",21,8,"502",0,1,1,0,0.18,0.18,0,0.3,0.01,0.07,6,1.25,5,1,1,0.21,1,0,261,81,3,4,75,3,0
"Jeremy Ebobisse","us USA","FW","Portland",21,34,"2,312",11,1,3,0.43,0.04,0.47,10.6,1.9,0.41,0.07,52,2.02,46,0,4,0.16,2,0,824,440,14,27,51.9,16,1
"Jesus Ferreira","us USA","FW,MF","FC Dallas",18,33,"2,452",8,5,4,0.29,0.18,0.48,9.1,2.7,0.33,0.1,74,2.72,59,3,13,0.48,9,0,1156,448,31,49,63.3,33,0
"Jesús Medina","py PAR","MF,FW","NYCFC",21,18,"726",3,1,1,0.37,0.12,0.5,3.7,1,0.45,0.12,23,2.85,20,0,2,0.25,2,0,451,185,6,19,31.6,7,1
"Joao Plata","ec ECU","FW,MF","Real Salt Lake",26,17,"304",1,0,0,0.3,0,0.3,1.5,0.4,0.44,0.12,11,3.26,7,1,1,0.3,0,0,266,139,10,14,71.4,10,0
"Joaquín Ardaiz","uy URU","FW","Vancouver",20,16,"404",0,0,1,0,0,0,1.8,0.1,0.39,0.01,10,2.23,4,0,1,0.22,0,0,122,69,6,10,60,7,0
"Joe Corona","us USA","MF","LA Galaxy",28,31,"2,325",1,1,6,0.04,0.04,0.08,1.3,1.6,0.05,0.06,70,2.71,58,5,5,0.19,5,0,1929,476,58,82,70.7,60,3
"Joe Gyau","us USA","FW,MF","FC Cincinnati",26,8,"460",0,0,0,0,0,0,0.5,0.1,0.1,0.01,9,1.76,6,0,2,0.39,1,0,214,108,8,15,53.3,9,0
"Joevin Jones","tt TRI","FW,DF","Seattle",27,17,"921",0,2,2,0,0.2,0.2,0.4,1.8,0.04,0.18,32,3.13,24,4,2,0.2,2,0,646,317,32,44,72.7,33,2
"Johan Kappelhof","nl NED","DF","Chicago",28,29,"2,562",0,1,5,0,0.04,0.04,0.5,0.5,0.02,0.02,19,0.67,18,1,3,0.11,2,1,1409,203,10,18,55.6,10,0
"Johnny Russell","sco SCO","FW,MF","Sporting KC",28,28,"2,115",9,6,1,0.38,0.26,0.64,5.8,7,0.25,0.3,109,4.64,57,26,14,0.6,7,2,1173,751,59,110,53.6,68,6
"Jon Erice","es ESP","MF","Vancouver",32,21,"1,752",0,1,2,0,0.05,0.05,0.2,0.8,0.01,0.04,25,1.28,24,0,3,0.15,3,0,1311,110,6,10,60,6,1
"Jonathan Bornstein","us USA","DF","Chicago",34,11,"915",0,0,1,0,0,0,0.1,0.2,0.01,0.02,7,0.69,7,0,1,0.1,1,0,557,139,5,8,62.5,5,0
"Jonathan dos Santos","mx MEX","MF","LA Galaxy",28,29,"2,546",2,3,5,0.07,0.11,0.18,1.2,3.5,0.04,0.12,73,2.58,42,26,6,0.21,2,2,2423,519,52,66,78.8,54,2
"Jonathan Lewis","us USA","FW,MF","Colorado",21,16,"899",5,3,2,0.5,0.3,0.8,2,2,0.2,0.2,30,3,22,0,3,0.3,2,0,347,200,25,35,71.4,27,0
"Jonathan Osorio","ca CAN","MF,FW","Toronto FC",26,24,"1,756",5,3,2,0.26,0.15,0.41,4.1,2,0.21,0.1,47,2.41,39,1,6,0.31,4,0,1222,535,19,29,65.5,19,1
"Jordan Hamilton","ca CAN","FW","Columbus",22,4,"56",0,0,0,0,0,0,0.1,0,0.17,0,10,1.45,5,0,0,0,0,0,216,140,3,8,37.5,4,0
"Jordan Harvey","us USA","DF","Los Angeles FC",35,30,"2,366",1,4,4,0.04,0.15,0.19,1.1,2.2,0.04,0.08,37,1.41,33,3,6,0.23,6,0,1688,476,2,8,25,2,0
"Jordan Morris","us USA","FW","Seattle",24,26,"2,049",10,6,2,0.44,0.26,0.7,8.7,4.4,0.38,0.19,51,2.24,43,0,11,0.48,9,0,887,471,34,56,60.7,39,0
"Jordy Delem","mq MTQ","MF","Seattle",25,23,"1,438",0,0,4,0,0,0,0.4,0,0.02,0,12,0.75,12,0,1,0.06,1,0,842,86,13,18,72.2,13,1
"Jorge Luis Corrales","cu CUB","DF","Chicago",27,15,"1,035",0,0,4,0,0,0,0,0.4,0,0.04,18,1.6,15,3,2,0.18,2,0,695,172,14,17,82.4,15,1
"Jorge Moreira","py PAR","DF","Portland",28,26,"2,233",2,2,7,0.08,0.08,0.16,1.2,2.3,0.05,0.09,74,2.98,61,2,7,0.28,5,0,1811,673,31,38,81.6,33,2
"Jørgen Skjelvik","no NOR","DF","LA Galaxy",27,20,"1,681",1,2,4,0.05,0.11,0.16,1,2.1,0.05,0.11,30,1.61,28,1,2,0.11,2,0,995,321,12,22,54.5,15,0
"Josef Martínez","ve VEN","FW","Atlanta",25,29,"2,581",27,3,1,0.94,0.1,1.05,23.4,2.8,0.82,0.1,97,3.38,59,0,19,0.66,7,0,910,543,35,50,70,37,1
"Josh Williams","us USA","DF","Columbus",30,16,"1,282",2,0,2,0.14,0,0.14,0.6,0,0.04,0,5,0.35,4,0,0,0,0,0,836,69,2,2,100,2,0
"Joshua Pérez","us USA","FW,MF","Los Angeles FC",21,13,"451",1,1,0,0.2,0.2,0.4,2.8,0.5,0.57,0.09,17,3.39,9,0,4,0.8,1,0,230,129,5,13,38.5,6,1
"Josué Colmán","py PAR","FW,MF","Orlando City",20,8,"154",0,1,0,0,0.58,0.58,0.1,0.6,0.07,0.35,13,7.6,8,3,2,1.17,1,1,123,69,8,8,100,8,1
"Jozy Altidore","us USA","FW","Toronto FC",29,22,"1,691",11,5,4,0.59,0.27,0.85,8.7,2.8,0.46,0.15,58,3.09,41,0,14,0.75,8,0,693,407,15,33,45.5,18,0
"Juan Agudelo","us USA","MF,FW","New England",26,28,"1,956",3,1,7,0.14,0.05,0.18,3.9,2.2,0.18,0.1,62,2.85,51,0,8,0.37,4,0,1146,481,54,94,57.4,57,3
"Juan David Cabezas","co COL","MF","Houston",27,15,"530",1,0,4,0.17,0,0.17,0.2,0,0.04,0.01,6,1.02,6,0,0,0,0,0,312,25,3,4,75,3,0
"Juan Fernando Caicedo","co COL","FW","New England",29,27,"1,067",5,2,2,0.42,0.17,0.59,4.9,1,0.41,0.09,25,2.11,16,0,4,0.34,4,0,390,202,15,31,48.4,18,0
"Judson","br BRA","MF","San Jose",25,27,"1,916",1,0,10,0.05,0,0.05,0.8,0.5,0.04,0.02,26,1.22,25,0,0,0,0,0,1390,120,8,14,57.1,9,0
"Julian Araujo","us USA","DF,FW","LA Galaxy",17,18,"890",0,1,3,0,0.1,0.1,0.5,0.6,0.05,0.06,15,1.52,13,0,2,0.2,2,0,558,222,16,28,57.1,19,0
"Julian Gressel","de GER","DF,FW","Atlanta",25,33,"2,695",6,11,3,0.2,0.37,0.57,4.7,9.2,0.16,0.31,122,4.07,89,20,13,0.43,12,0,1800,858,27,49,55.1,29,2
"Julio Cascante","cr CRC","DF","Portland",25,22,"1,439",0,1,4,0,0.06,0.06,0.9,0.7,0.06,0.04,5,0.31,4,0,1,0.06,1,0,790,27,8,8,100,8,1
"Justen Glad","us USA","DF","Real Salt Lake",21,23,"2,064",0,0,2,0,0,0,1,0.2,0.04,0.01,9,0.39,7,1,0,0,0,0,1347,37,4,5,80,4,0
"Justin Dhillon","us USA","FW","Seattle",23,5,"265",0,0,0,0,0,0,0.8,0.6,0.27,0.19,6,2.04,5,0,0,0,0,0,71,34,2,5,40,2,0
"Justin Meram","iq IRQ","DF,FW","Atlanta",30,20,"1,269",4,0,3,0.28,0,0.28,2.2,2.6,0.15,0.18,51,3.62,37,2,3,0.21,0,0,214,93,14,19,73.7,14,2
"Justin Morrow","us USA","DF","Toronto FC",31,28,"2,348",1,3,2,0.04,0.11,0.15,1.4,2.4,0.05,0.09,34,1.3,32,0,5,0.19,4,0,1651,590,17,33,51.5,19,2
"Kacper Przyby?ko","pl POL","FW","Philadelphia",25,26,"2,242",15,4,5,0.6,0.16,0.76,12.7,3.4,0.51,0.14,63,2.53,42,0,9,0.36,6,0,1108,585,37,60,61.7,41,0
"Kaku","py PAR","MF","NY Red Bulls",24,26,"1,925",5,4,0,0.23,0.19,0.42,3.7,6.5,0.17,0.3,98,4.58,78,8,10,0.47,8,0,1450,788,38,53,71.7,41,3
"Keaton Parks","us USA","MF","NYCFC",21,22,"1,317",1,1,3,0.07,0.07,0.14,2.3,1.8,0.15,0.13,39,2.67,30,0,2,0.14,2,0,1125,222,17,27,63,19,1
"Keegan Rosenberry","us USA","DF","Colorado",25,34,"3,060",1,3,3,0.03,0.09,0.12,1.1,2.8,0.03,0.08,65,1.91,48,14,7,0.21,4,0,1933,446,19,27,70.4,20,1
"Kei Kamara","sl SLE","FW","Colorado",34,29,"2,540",14,1,5,0.5,0.04,0.53,16.6,2.4,0.59,0.09,51,1.81,37,0,8,0.28,3,0,1208,556,36,58,62.1,43,0
"Kekuta Manneh","us USA","FW,MF","FC Cincinnati",24,27,"1,497",4,3,0,0.24,0.18,0.42,2.7,2.3,0.16,0.14,50,3.01,32,2,6,0.36,4,0,715,384,35,57,61.4,40,0
"Kellyn Acosta","us USA","MF","Colorado",23,31,"2,619",2,1,10,0.07,0.03,0.1,1.5,2.2,0.05,0.08,57,1.96,42,3,5,0.17,3,0,1306,382,29,46,63,31,1
"Kelvin Leerdam","nl NED","DF","Seattle",28,29,"2,409",5,2,7,0.19,0.07,0.26,2.1,2.2,0.08,0.08,40,1.49,36,2,4,0.15,3,0,1617,575,32,42,76.2,32,0
"Kemar Lawrence","jm JAM","DF","NY Red Bulls",26,22,"1,729",1,0,5,0.05,0,0.05,0.8,0.8,0.04,0.04,15,0.78,13,1,0,0,0,0,1096,317,11,13,84.6,11,1
"Ken Krolicki","us USA","MF","Montreal",22,10,"524",0,0,2,0,0,0,0.1,0.3,0.02,0.04,5,0.86,4,0,0,0,0,0,310,64,1,3,33.3,1,0
"Kendall Waston","cr CRC","DF","FC Cincinnati",31,25,"2,174",1,0,10,0.04,0,0.04,1.4,0.1,0.06,0.01,10,0.41,9,0,0,0,0,0,1476,65,5,10,50,8,0
"Kenny Saief","us USA","FW,MF","FC Cincinnati",25,9,"566",1,2,0,0.16,0.32,0.48,0.9,1.7,0.15,0.27,12,1.91,7,4,2,0.32,2,0,350,152,17,25,68,18,1
"Kevin Molino","tt TRI","FW,MF","Minnesota",28,17,"910",3,4,1,0.3,0.4,0.69,4,3.2,0.4,0.31,37,3.66,29,1,4,0.4,4,0,586,259,26,41,63.4,26,2
"Kim Kee-hee","kr KOR","DF","Seattle",29,30,"2,606",0,1,6,0,0.03,0.03,1.8,0.5,0.06,0.02,13,0.45,12,0,1,0.03,1,0,1550,99,11,14,78.6,11,0
"Krisztián Németh","hu HUN","FW","Sporting KC",30,24,"1,558",8,2,5,0.46,0.12,0.58,10.4,2.4,0.6,0.14,50,2.89,34,0,8,0.46,4,0,605,350,12,19,63.2,13,1
"Kyle Beckerman","us USA","MF","Real Salt Lake",36,25,"2,134",0,4,9,0,0.17,0.17,0.5,0.4,0.02,0.02,38,1.6,33,1,7,0.3,6,0,1580,233,11,18,61.1,11,0
"Kyle Duncan","us USA","DF","NY Red Bulls",21,13,"1,080",1,2,4,0.08,0.17,0.25,0.6,1.1,0.05,0.09,18,1.5,13,3,4,0.33,4,0,764,250,23,38,60.5,23,0
"Lalas Abubakar","gh GHA","DF","Colorado",24,22,"1,980",0,0,7,0,0,0,1.2,0.1,0.05,0,6,0.27,6,0,0,0,0,0,982,44,1,2,50,1,0
"Larrys Mabiala","cd COD","DF","Portland",31,22,"1,903",2,0,7,0.09,0,0.09,1.8,0.1,0.08,0,10,0.47,6,0,0,0,0,0,1068,57,3,3,100,3,0
"Lass Bangoura","gn GUI","FW","Vancouver",26,17,"632",1,1,1,0.14,0.14,0.28,0.3,0.8,0.04,0.11,16,2.28,9,1,2,0.28,1,0,338,168,25,42,59.5,25,0
"Lassi Lappalainen","fi FIN","MF,FW","Montreal",20,11,"683",5,0,0,0.66,0,0.66,2.9,0.1,0.38,0.02,18,2.37,11,0,2,0.26,1,0,319,163,15,30,50,16,1
"Latif Blessing","gh GHA","MF","Los Angeles FC",22,34,"2,689",6,3,7,0.2,0.1,0.3,5.9,6.1,0.2,0.2,109,3.65,77,2,17,0.57,10,0,2021,733,91,141,64.5,93,5
"Laurent Ciman","be BEL","DF","Toronto FC",33,17,"1,262",0,0,3,0,0,0,0.5,0.3,0.03,0.02,10,0.71,7,1,1,0.07,1,0,933,47,3,3,100,3,0
"Leandro González Pirez","ar ARG","DF","Atlanta",26,31,"2,700",1,0,11,0.03,0,0.03,2.2,0.3,0.07,0.01,31,1.03,23,1,3,0.1,2,0,2305,157,33,40,82.5,34,0
"Leonardo Bertone","ch SUI","MF","FC Cincinnati",24,25,"2,056",1,1,9,0.04,0.04,0.09,1,1.6,0.04,0.07,44,1.93,26,14,4,0.18,2,1,1350,225,7,15,46.7,8,1
"Leonardo Jara","ar ARG","DF","D.C. United",27,30,"2,290",1,5,5,0.04,0.2,0.24,1.6,2.4,0.06,0.09,50,1.97,38,1,8,0.31,5,0,1566,416,54,75,72,56,3
"Liam Fraser","ca CAN","MF,DF","Toronto FC",20,9,"810",0,0,3,0,0,0,0.5,0.2,0.06,0.02,17,1.89,16,1,1,0.11,1,0,806,168,7,7,100,7,0
"Lucas Rodríguez","ar ARG","FW,MF","D.C. United",21,33,"2,708",6,3,5,0.2,0.1,0.3,3.4,1.3,0.11,0.04,75,2.49,43,0,6,0.2,4,0,1426,502,77,122,63.1,81,5
"Lucas Venuto","br BRA","FW","Vancouver",24,22,"1,132",3,1,3,0.24,0.08,0.32,1.9,1.9,0.15,0.15,32,2.54,24,0,2,0.16,1,0,504,275,32,47,68.1,32,1
"Luciano Acosta","ar ARG","MF,FW","D.C. United",24,31,"2,119",6,1,0,0.25,0.04,0.3,4.6,2.8,0.19,0.12,86,3.65,64,4,8,0.34,4,0,1751,759,68,143,47.6,72,8
"Luis Argudo","us USA","FW,MF","Columbus",23,21,"1,061",1,3,1,0.08,0.25,0.34,1.9,1.5,0.16,0.13,24,2.04,17,1,5,0.42,5,0,596,243,33,59,55.9,37,1
"Luís Caicedo","co COL","MF","New England",22,31,"2,358",0,0,5,0,0,0,1.5,0.9,0.06,0.03,22,0.84,17,1,1,0.04,1,0,1295,173,6,11,54.5,8,1
"Luis Díaz","cr CRC","FW,MF","Columbus",20,13,"797",2,3,1,0.23,0.34,0.56,1,2.3,0.11,0.25,26,2.94,17,1,6,0.68,4,0,289,174,20,31,64.5,22,5
"Magnus Eriksson","se SWE","MF","San Jose",28,32,"2,807",6,7,5,0.19,0.22,0.42,5.7,7.7,0.18,0.25,179,5.74,128,31,14,0.45,13,0,2137,1067,28,45,62.2,29,1
"Maikel van der Werff","nl NED","DF","FC Cincinnati",29,11,"990",0,0,2,0,0,0,0.9,0.2,0.08,0.02,7,0.64,6,0,0,0,0,0,582,17,2,3,66.7,2,0
"Marc Rzatkowski","de GER","MF,FW","NY Red Bulls",28,28,"2,319",2,3,4,0.08,0.12,0.19,2.2,5.1,0.09,0.2,97,3.76,55,34,15,0.58,11,3,1597,690,25,42,59.5,28,3
"Marcelo Silva","uy URU","DF","Real Salt Lake",29,19,"1,341",2,0,3,0.13,0,0.13,0.3,0.2,0.02,0.01,8,0.54,8,0,0,0,0,0,743,17,2,3,66.7,3,0
"Marco Fabián","mx MEX","MF,FW","Philadelphia",29,23,"1,248",7,1,5,0.5,0.07,0.58,6.9,2.1,0.5,0.15,52,3.75,32,8,5,0.36,4,0,977,506,22,38,57.9,24,2
"Marcos López","pe PER","DF","San Jose",19,18,"1,167",0,0,7,0,0,0,0.6,1.6,0.05,0.12,33,2.54,25,5,3,0.23,2,1,895,254,12,19,63.2,13,1
"Mark-Anthony Kaye","ca CAN","MF","Los Angeles FC",24,31,"2,502",4,8,7,0.14,0.29,0.43,3,6.2,0.11,0.22,108,3.88,91,5,11,0.4,9,0,2291,640,59,88,67,62,5
"Marky Delgado","us USA","MF","Toronto FC",23,30,"2,554",2,5,4,0.07,0.18,0.25,2.5,3.5,0.09,0.12,86,3.03,76,1,14,0.49,13,0,2164,759,21,38,55.3,21,3
"Marlon Hairston","us USA","FW","Houston",24,12,"411",0,0,0,0,0,0,0.7,0.6,0.15,0.13,11,2.41,9,0,1,0.22,1,0,182,96,2,6,33.3,2,0
"Marvin Loría","cr CRC","FW","Portland",21,19,"700",2,0,3,0.26,0,0.26,1.1,0.8,0.14,0.1,28,3.6,21,1,4,0.51,2,1,427,267,19,23,82.6,20,0
"Mason Toye","us USA","FW","Minnesota",20,17,"821",6,2,2,0.66,0.22,0.88,4.1,1.2,0.45,0.14,8,0.88,6,0,3,0.33,2,0,252,110,6,6,100,6,0
"Mathieu Choiniere","ca CAN","FW,MF","Montreal",19,17,"681",0,1,1,0,0.13,0.13,0.5,0.3,0.06,0.05,17,2.25,8,0,2,0.26,1,0,336,161,15,24,62.5,16,0
"Mathieu Deplagne","fr FRA","DF","FC Cincinnati",27,33,"2,878",1,1,4,0.03,0.03,0.06,2.4,1,0.08,0.03,31,0.97,24,3,4,0.13,2,0,1884,400,25,38,65.8,26,2
"Matt Besler","us USA","DF","Sporting KC",31,27,"2,114",0,0,4,0,0,0,0.1,0.5,0,0.02,20,0.85,19,1,0,0,0,0,1749,43,4,5,80,4,1
"Matt Hedges","us USA","DF","FC Dallas",28,33,"2,883",1,0,5,0.03,0,0.03,1.6,0.6,0.05,0.02,12,0.37,11,0,2,0.06,1,0,2259,49,13,14,92.9,14,1
"Mauro Manotas","co COL","FW","Houston",23,32,"2,540",13,7,1,0.46,0.25,0.71,14.7,5.9,0.52,0.21,76,2.69,59,3,13,0.46,11,0,978,554,26,50,52,29,3
"Maxime Chanot","lu LUX","DF","NYCFC",29,31,"2,790",0,0,11,0,0,0,0.7,0.2,0.02,0.01,8,0.27,6,1,1,0.03,0,0,1969,42,12,13,92.3,12,2
"Maximiliano Moralez","ar ARG","MF,FW","NYCFC",31,29,"2,437",7,12,7,0.26,0.44,0.7,9.3,9.4,0.36,0.36,165,6.33,124,24,22,0.84,19,0,1979,811,36,64,56.3,39,1
"Maximiliano Urruti","ar ARG","FW","Montreal",27,31,"2,438",4,6,5,0.15,0.22,0.37,4.6,2.9,0.17,0.11,63,2.33,40,6,11,0.41,7,1,937,513,43,75,57.3,47,0
"Maynor Figueroa","hn HON","DF","Houston",35,25,"2,249",0,1,6,0,0.04,0.04,0.8,1.4,0.03,0.05,33,1.32,26,0,4,0.16,3,0,1622,121,14,14,100,14,0
"Memo Rodriguez","us USA","FW,MF","Houston",23,26,"1,390",7,2,3,0.45,0.13,0.58,6.1,2.1,0.4,0.13,62,4.01,36,10,7,0.45,5,0,778,432,21,38,55.3,22,0
"Michael Amir Murillo","pa PAN","DF","NY Red Bulls",22,22,"1,693",1,3,6,0.05,0.16,0.21,0.4,1.8,0.02,0.1,43,2.29,31,2,10,0.53,6,0,1265,400,43,67,64.2,43,2
"Michael Barrios","co COL","FW","FC Dallas",27,32,"2,731",5,13,6,0.16,0.43,0.59,5.1,10.5,0.17,0.35,129,4.25,87,26,19,0.63,14,2,1412,936,45,101,44.6,52,8
"Michael Boxall","nz NZL","DF","Minnesota",30,29,"2,577",2,0,3,0.07,0,0.07,1.4,0.4,0.05,0.01,11,0.38,8,0,0,0,0,0,1294,56,5,5,100,5,0
"Michael Bradley","us USA","MF","Toronto FC",31,27,"2,372",3,1,4,0.11,0.04,0.15,2.4,1.1,0.09,0.04,58,2.2,42,13,5,0.19,3,0,2315,381,19,27,70.4,22,0
"Michaell Chirinos","hn HON","MF,FW","Vancouver",23,7,"412",1,1,2,0.22,0.22,0.44,1.6,0.2,0.34,0.05,14,3.06,8,0,2,0.44,1,0,202,104,8,15,53.3,9,0
"Micheal Azira","ug UGA","MF","Chicago",31,4,"216",0,0,1,0,0,0,0.3,0.1,0.13,0.05,24,1.5,23,0,3,0.19,3,0,799,176,9,15,60,10,0
"Miguel Ibarra","us USA","FW,MF","Minnesota",28,22,"1,505",1,1,4,0.06,0.06,0.12,2.4,2.5,0.15,0.15,34,2.03,30,0,5,0.3,4,0,766,325,5,9,55.6,5,1
"Mo Adams","eng ENG","MF","Chicago",22,10,"484",0,0,4,0,0,0,0,0.4,0.01,0.07,7,1.49,6,0,1,0.21,1,0,78,23,1,6,16.7,1,0
"Mohamed El Monir","ly LBY","DF","Los Angeles FC",26,15,"582",1,0,2,0.15,0,0.15,0.6,1.3,0.1,0.2,21,3.25,11,3,2,0.31,1,0,577,227,25,38,65.8,28,4
"Nani","pt POR","FW,MF","Orlando City",32,30,"2,278",12,5,4,0.47,0.2,0.67,7.9,6.9,0.31,0.27,123,4.86,78,21,12,0.47,9,0,1680,878,83,121,68.6,87,7
"Nedum Onuoha","eng ENG","DF","Real Salt Lake",32,27,"2,336",1,0,2,0.04,0,0.04,0.7,0.3,0.03,0.01,13,0.5,10,0,0,0,0,0,1318,39,13,16,81.3,13,0
"Nemanja Nikoli?","hu HUN","FW","Chicago",31,31,"2,003",12,0,3,0.54,0,0.54,12.8,2.4,0.6,0.11,38,1.77,33,0,1,0.05,0,0,610,313,6,15,40,7,0
"Nick Besler","us USA","MF","Real Salt Lake",25,17,"727",1,1,4,0.12,0.12,0.25,0.9,0.7,0.11,0.08,16,1.98,16,0,3,0.37,3,0,446,64,4,5,80,4,0
"Nick DeLeon","us USA","MF,FW","Toronto FC",28,32,"1,856",6,1,2,0.29,0.05,0.34,4.4,2.4,0.21,0.12,47,2.28,38,2,5,0.24,4,0,1173,524,32,58,55.2,35,2
