"Player","Nation","Pos","Squad","Age","MP","Min","Gls.","Ast","CrdY","Gls","Ast.1","G.A","xG","xA","xG.1","xA.1","SCA.","SCA90","PassLive","PassDead","GCA","GCA90","PassLive.1","PassDead.1","Touches","Att.3rd","Succ","Att","Succ.","X.PDP","Megs"
"Saphir Taïder","dz ALG","MF,FW","Montreal",26,32,"2,728",9,7,2,0.3,0.23,0.53,8.7,5.1,0.29,0.17,108,3.56,62,28,13,0.43,7,3,2192,880,59,90,65.6,61,3
"Scott Caldwell","us USA","MF","New England",27,20,"1,079",0,0,2,0,0,0,0.1,0.3,0,0.03,19,1.58,16,0,2,0.17,2,0,665,145,2,11,18.2,2,0
"Scott Sutter","ch SUI","DF","Vancouver",32,16,"978",1,0,0,0.09,0,0.09,0.3,0.7,0.03,0.06,13,1.2,11,1,0,0,0,0,666,192,8,12,66.7,8,0
"Sean Davis","us USA","MF","NY Red Bulls",25,30,"2,557",0,1,0,0,0.04,0.04,0.6,1.6,0.02,0.06,51,1.8,42,8,3,0.11,2,1,1905,408,17,19,89.5,17,0
"Sebastián Blanco","ar ARG","FW,MF","Portland",30,30,"2,513",6,10,8,0.21,0.36,0.57,6.5,9.3,0.23,0.33,162,5.8,121,5,17,0.61,14,0,2024,1041,69,108,63.9,73,2
"Sebastian Lletget","us USA","MF,FW","LA Galaxy",26,29,"2,317",3,5,4,0.12,0.19,0.31,2.3,3.4,0.09,0.13,69,2.68,47,11,8,0.31,6,2,1653,628,32,39,82.1,34,3
"Sebastián Saucedo","us USA","FW,MF","Real Salt Lake",22,26,"1,191",2,4,6,0.15,0.3,0.45,1.6,1.9,0.12,0.15,63,4.76,35,8,7,0.53,4,0,764,379,44,71,62,48,1
"Sebastien Ibeagha","us USA","DF","NYCFC",27,23,"1,108",0,0,1,0,0,0,0.1,0,0,0,4,0.33,4,0,0,0,0,0,665,12,3,3,100,3,0
"Sergio Santos Gomes","br BRA","FW,MF","Philadelphia",24,17,"620",4,1,2,0.58,0.15,0.73,3.5,0.5,0.5,0.07,21,3.05,12,0,4,0.58,1,0,301,200,16,24,66.7,17,1
"Shamit Shome","ca CAN","MF","Montreal",21,27,"1,626",1,1,3,0.06,0.06,0.11,2,0.9,0.11,0.05,26,1.44,21,1,3,0.17,3,0,796,228,12,21,57.1,13,1
"Shea Salinas","us USA","MF,DF","San Jose",32,28,"1,336",6,3,3,0.4,0.2,0.61,4.9,3.5,0.33,0.23,62,4.18,53,1,7,0.47,3,0,845,394,33,54,61.1,37,3
"Steve Birnbaum","us USA","DF","D.C. United",28,34,"3,032",1,0,5,0.03,0,0.03,2,0.4,0.06,0.01,19,0.56,12,0,2,0.06,0,0,1806,106,3,4,75,3,0
"Steven Beitashour","ir IRN","DF","Los Angeles FC",31,25,"1,882",1,2,3,0.05,0.1,0.14,1,1.7,0.05,0.08,28,1.34,28,0,2,0.1,2,0,1368,365,8,13,61.5,8,3
"Tajon Buchanan","ca CAN","MF","New England",19,10,"389",0,2,0,0,0.46,0.46,0.8,1,0.19,0.23,10,2.31,7,0,4,0.93,2,0,137,90,9,18,50,10,1
"Teal Bunbury","us USA","FW,MF","New England",28,32,"2,193",6,2,2,0.25,0.08,0.33,7,1.7,0.29,0.07,57,2.34,42,0,9,0.37,2,0,941,523,33,58,56.9,34,0
"Tesho Akindele","ca CAN","FW","Orlando City",26,28,"1,880",10,1,1,0.48,0.05,0.53,8.8,1.6,0.42,0.08,53,2.54,41,0,6,0.29,4,0,808,411,18,36,50,20,2
